File,Line,Message
/Users/nikhil/Programming/GitHub/grpc/src/core/handshaker/security/legacy_secure_endpoint.cc,381,Found ')' without opening '(' for trailing return type ' -> write_mu)...'
/Users/nikhil/Programming/GitHub/grpc/src/core/util/crash.h,20,"include file absl/strings/string_view.h not found, perhaps you forgot to add its directory to INCLUDE_PATH?"
/Users/nikhil/Programming/GitHub/grpc/src/core/util/debug_location.h,26,"include file absl/strings/str_cat.h not found, perhaps you forgot to add its directory to INCLUDE_PATH?"
/Users/nikhil/Programming/GitHub/grpc/src/core/util/crash.h,20,"include file absl/strings/string_view.h not found, perhaps you forgot to add its directory to INCLUDE_PATH?"
/Users/nikhil/Programming/GitHub/grpc/src/core/util/debug_location.h,26,"include file absl/strings/str_cat.h not found, perhaps you forgot to add its directory to INCLUDE_PATH?"
/Users/nikhil/Programming/GitHub/grpc/src/core/load_balancing/health_check_client_internal.h,89,Found ';' while parsing initializer list! (doxygen could be confused by a macro call without semicolon)
/Users/nikhil/Programming/GitHub/grpc/src/core/load_balancing/health_check_client_internal.h,93,Found ';' while parsing initializer list! (doxygen could be confused by a macro call without semicolon)
/Users/nikhil/Programming/GitHub/grpc/src/core/load_balancing/health_check_client_internal.h,98,Found ';' while parsing initializer list! (doxygen could be confused by a macro call without semicolon)
/Users/nikhil/Programming/GitHub/grpc/src/core/load_balancing/health_check_client_internal.h,107,Found ';' while parsing initializer list! (doxygen could be confused by a macro call without semicolon)
/Users/nikhil/Programming/GitHub/grpc/src/core/load_balancing/health_check_client_internal.h,115,Found ';' while parsing initializer list! (doxygen could be confused by a macro call without semicolon)
/Users/nikhil/Programming/GitHub/grpc/src/core/load_balancing/rls/rls.cc,273,Found ';' while parsing initializer list! (doxygen could be confused by a macro call without semicolon)
/Users/nikhil/Programming/GitHub/grpc/src/core/load_balancing/rls/rls.cc,274,Found ';' while parsing initializer list! (doxygen could be confused by a macro call without semicolon)
/Users/nikhil/Programming/GitHub/grpc/src/core/load_balancing/rls/rls.cc,346,Found ';' while parsing initializer list! (doxygen could be confused by a macro call without semicolon)
/Users/nikhil/Programming/GitHub/grpc/src/core/load_balancing/rls/rls.cc,493,Found ';' while parsing initializer list! (doxygen could be confused by a macro call without semicolon)
/Users/nikhil/Programming/GitHub/grpc/src/core/load_balancing/rls/rls.cc,503,Found ';' while parsing initializer list! (doxygen could be confused by a macro call without semicolon)
/Users/nikhil/Programming/GitHub/grpc/src/core/load_balancing/rls/rls.cc,510,Found ';' while parsing initializer list! (doxygen could be confused by a macro call without semicolon)
/Users/nikhil/Programming/GitHub/grpc/src/core/load_balancing/rls/rls.cc,513,Found ';' while parsing initializer list! (doxygen could be confused by a macro call without semicolon)
/Users/nikhil/Programming/GitHub/grpc/src/core/load_balancing/rls/rls.cc,517,Found ';' while parsing initializer list! (doxygen could be confused by a macro call without semicolon)
/Users/nikhil/Programming/GitHub/grpc/src/core/load_balancing/rls/rls.cc,520,Found ';' while parsing initializer list! (doxygen could be confused by a macro call without semicolon)
/Users/nikhil/Programming/GitHub/grpc/src/core/load_balancing/rls/rls.cc,524,Found ';' while parsing initializer list! (doxygen could be confused by a macro call without semicolon)
/Users/nikhil/Programming/GitHub/grpc/src/core/load_balancing/rls/rls.cc,536,Found ';' while parsing initializer list! (doxygen could be confused by a macro call without semicolon)
/Users/nikhil/Programming/GitHub/grpc/src/core/load_balancing/rls/rls.cc,402,Found ';' while parsing initializer list! (doxygen could be confused by a macro call without semicolon)
/Users/nikhil/Programming/GitHub/grpc/src/core/load_balancing/rls/rls.cc,406,Found ';' while parsing initializer list! (doxygen could be confused by a macro call without semicolon)
/Users/nikhil/Programming/GitHub/grpc/src/core/load_balancing/rls/rls.cc,411,Found ';' while parsing initializer list! (doxygen could be confused by a macro call without semicolon)
/Users/nikhil/Programming/GitHub/grpc/src/core/load_balancing/rls/rls.cc,414,Found ';' while parsing initializer list! (doxygen could be confused by a macro call without semicolon)
/Users/nikhil/Programming/GitHub/grpc/src/core/load_balancing/rls/rls.cc,418,Found ';' while parsing initializer list! (doxygen could be confused by a macro call without semicolon)
/Users/nikhil/Programming/GitHub/grpc/src/core/load_balancing/rls/rls.cc,426,Found ';' while parsing initializer list! (doxygen could be confused by a macro call without semicolon)
/Users/nikhil/Programming/GitHub/grpc/src/core/load_balancing/rls/rls.cc,429,Found ';' while parsing initializer list! (doxygen could be confused by a macro call without semicolon)
/Users/nikhil/Programming/GitHub/grpc/src/core/load_balancing/rls/rls.cc,562,Found ';' while parsing initializer list! (doxygen could be confused by a macro call without semicolon)
/Users/nikhil/Programming/GitHub/grpc/src/core/load_balancing/rls/rls.cc,566,Found ';' while parsing initializer list! (doxygen could be confused by a macro call without semicolon)
/Users/nikhil/Programming/GitHub/grpc/src/core/load_balancing/rls/rls.cc,607,Found ';' while parsing initializer list! (doxygen could be confused by a macro call without semicolon)
/Users/nikhil/Programming/GitHub/grpc/src/core/load_balancing/rls/rls.cc,610,Found ';' while parsing initializer list! (doxygen could be confused by a macro call without semicolon)
/Users/nikhil/Programming/GitHub/grpc/src/core/load_balancing/xds/xds_override_host.cc,222,Found ';' while parsing initializer list! (doxygen could be confused by a macro call without semicolon)
/Users/nikhil/Programming/GitHub/grpc/src/core/load_balancing/xds/xds_override_host.cc,235,Found ';' while parsing initializer list! (doxygen could be confused by a macro call without semicolon)
/Users/nikhil/Programming/GitHub/grpc/src/core/load_balancing/xds/xds_override_host.cc,241,Found ';' while parsing initializer list! (doxygen could be confused by a macro call without semicolon)
/Users/nikhil/Programming/GitHub/grpc/src/core/load_balancing/xds/xds_override_host.cc,246,Found ';' while parsing initializer list! (doxygen could be confused by a macro call without semicolon)
/Users/nikhil/Programming/GitHub/grpc/src/core/load_balancing/xds/xds_override_host.cc,253,Found ';' while parsing initializer list! (doxygen could be confused by a macro call without semicolon)
/Users/nikhil/Programming/GitHub/grpc/src/core/load_balancing/xds/xds_override_host.cc,260,Found ';' while parsing initializer list! (doxygen could be confused by a macro call without semicolon)
/Users/nikhil/Programming/GitHub/grpc/src/core/resolver/dns/c_ares/grpc_ares_ev_driver.h,45,Found ';' while parsing initializer list! (doxygen could be confused by a macro call without semicolon)
/Users/nikhil/Programming/GitHub/grpc/src/core/resolver/dns/c_ares/grpc_ares_ev_driver.h,48,Found ';' while parsing initializer list! (doxygen could be confused by a macro call without semicolon)
/Users/nikhil/Programming/GitHub/grpc/src/core/resolver/dns/c_ares/grpc_ares_ev_driver.h,51,Found ';' while parsing initializer list! (doxygen could be confused by a macro call without semicolon)
/Users/nikhil/Programming/GitHub/grpc/src/core/resolver/dns/c_ares/grpc_ares_ev_driver.h,55,Found ';' while parsing initializer list! (doxygen could be confused by a macro call without semicolon)
/Users/nikhil/Programming/GitHub/grpc/src/core/resolver/dns/c_ares/grpc_ares_ev_driver.h,58,Found ';' while parsing initializer list! (doxygen could be confused by a macro call without semicolon)
/Users/nikhil/Programming/GitHub/grpc/src/core/resolver/dns/c_ares/grpc_ares_ev_driver.h,73,Found ';' while parsing initializer list! (doxygen could be confused by a macro call without semicolon)
/Users/nikhil/Programming/GitHub/grpc/src/core/resolver/dns/c_ares/grpc_ares_ev_driver.h,76,Found ';' while parsing initializer list! (doxygen could be confused by a macro call without semicolon)
/Users/nikhil/Programming/GitHub/grpc/src/core/server/server.h,446,Found ')' without opening '(' for trailing return type ' -> mu_global_)...'
/Users/nikhil/Programming/GitHub/grpc/src/core/server/xds_server_config_fetcher.cc,215,Found ';' while parsing initializer list! (doxygen could be confused by a macro call without semicolon)
/Users/nikhil/Programming/GitHub/grpc/src/core/xds/xds_client/lrs_client.cc,265,Found ';' while parsing initializer list! (doxygen could be confused by a macro call without semicolon)
/Users/nikhil/Programming/GitHub/grpc/src/core/xds/xds_client/lrs_client.cc,274,Found ';' while parsing initializer list! (doxygen could be confused by a macro call without semicolon)
/Users/nikhil/Programming/GitHub/grpc/src/core/xds/xds_client/lrs_client.cc,356,Found ';' while parsing initializer list! (doxygen could be confused by a macro call without semicolon)
/Users/nikhil/Programming/GitHub/grpc/src/core/xds/xds_client/lrs_client.cc,358,Found ';' while parsing initializer list! (doxygen could be confused by a macro call without semicolon)
/Users/nikhil/Programming/GitHub/grpc/src/core/xds/xds_client/lrs_client.cc,361,Found ';' while parsing initializer list! (doxygen could be confused by a macro call without semicolon)
